اسم المدير,اسم المدينة,رقم الجوال
شركة  يسر  للاستثمار,بيتونيا,970594631407
شركة مصانع الزيوت النباتية المساهمة العامة المحدودة,نابلس,970599088063
شركة الجردانة التجارية الصناعية المساهمة الخصوصية,نابلس,970595258082
الشركة العربية لصناعة الدهانات المساهمة العامة المحدودة,نابلس,970599088063
شركة الحاج طاهر المصري المساهمة الخصوصية,نابلس,970595258082
شركة مصانع التنك المساهمة الخصوصية,نابلس,970597012257
شركة كلرلاب 27 المساهمة الخصوصية المحدودة,نابلس,970597012257
شركة المقاولون المساهمة الخصوصية المحدودة,نابلس,970592513467
شركة عبدالرحمن الحجاوي وأولاده/مطبعة النصر التجارية ومكتبتها المساهمة الخصوصية المحدودة,نابلس,970595604470
شركة مركز الهندسة الميكانيكية المساهمة المحدودة,نابلس,970568977618
شركة مصنع بوظة الارز المساهمة الخصوصية,نابلس,970592513467
شركة مصانع الشرق العربية للفوط الصحية المساهمة الخصوصية المحدودة,نابلس,970595258082
شركة فتوح الهندسية للمقاولات العامة المساهمة الخصوصية المحدودة,نابلس,970597012257
شركة طبيلة للهندسة والمقاولات العادية المحدودة,نابلس,970599780222
شركة الطيبي للاستثمار والزراعة المساهمة الخصوصية المحدودة,نابلس,970592513467
الشركة الفلسطينية للصناعات الانشائية المساهمة الخصوصية المحدودة,بيت ايبا / نابلس,970595604470
شركة حافظ وعبدالفتاح طوقان المساهمة الخصوصية المحدودة,نابلس,970592513467
شركة الحاج نمر التميمي للتجارة والنقل المساهمة الخصوصية المحدودة,نابلس,970592513467
شركة سختيان اخوان المساهمة الخصوصية المحدودة,نابلس,970595957877
شركة يعيش للتجارة الدولية المساهمة الخصوصية المحدودة,نابلس,970599088063
شركة جرزيم للتجارة والتعهدات العامة المساهمة الخصوصية المحدودة,نابلس,970592513467
شركة طحينة الحمامة البيضاء للطحينة والحلاوة العادية العامة,نابلس,970592513467
شركة مصنع الشخشير للاثاث العادية العامة,نابلس,970594631407
شركة طوقان للتجارة والبناء المساهمة الخصوصية المحدودة,نابلس,970599780222
شركة شحروري للتمباك العجمي المساهمة الخصوصية المحدودة,نابلس,970594631407
شركة عبدالرحيم التميمي للتجارة والنقل العادية العامة,نابلس,970594631407
شركة المراد التجارية الصناعية للتعبئة والتغليف المساهمة الخصوصية المحدودة,نابلس,970568977618
شركة دار البناء للتجارة والمقاولات العامة المساهمة الخصوصية,عصيرة الشمالية/نابلس,970568977618
شركة قادري التجارية العادية العامة,نابلس,970595957877
شركة الجواد التجارية للمواد الغذائية المساهمة الخصوصية المحدودة,نابلس,970595604470
شركة شيخكو للتجارة والصناعة المساهمة الخصوصية,نابلس,970599088063
شركة الحجاوي لتجارة الورق والقرطاسية المساهمة الخصوصية/فرع ميدان الحسين,نابلس,970595258082
شركة الحجاوي لتجارة الورق والقرطاسية المساهمة الخصوصية/فرع المركز التجاري,نابلس,970568977618
شركة الطاووس الهندسية للتجارة والمقاولات المساهمة الخصوصية المحدودة,نابلس,970597012257
شركة بابل العربية للتجارة العامة والخدمات المساهمة الخصوصية المحدودة,نابلس,970595604470
شركة مصنع دانا للمنتجات الدوائية العادية العامة,نابلس,970595957877
شركة الشخشير اخوان للتراكتورات والتسويق العادية العامة,نابلس,970594631407
شركة الدجني للاثاث المساهمة الخصوصية المحدودة,نابلس,970568977618
شركة ابوكشك للمقاولات والتعهدات العادية العامة,مخيم عسكر/نابلس,970599780222
شركة الزاوياني واولاده التجارية العادية العامة,نابلس,970592513467
شركة الحواري للصرافة المساهمة الخصوصية,نابلس,970595957877
شركة العتبة للتجارة والنوفوتية العادية العامة,نابلس,970599780222
شركة ازياء العايد العصرية لتجارة الملابس المساهمة الخصوصية,نابلس,970568977618
شركة بنك الاستثمار الفلسطيني المساهمة العامة/فرع نابلس,نابلس,970595957877
شركة العمارة للانشاءات الهندسية المساهمة الخصوصية,نابلس,970595604470
شركة وديع مرتضى المصري واولاده العادية العامة,نابلس,970599088063
شركة المغربي للاستيراد والتصدير العادية العامة,نابلس,970597012257
شركة هشام المصري واولاده للتجارة العادية العامة,نابلس,970568977618
شركة الوحدة لتجارة الابقار والاغنام واللحوم العادية العامة,نابلس,970592513467
شركة عناب التجارية الصناعية العادية العامة,نابلس,970595957877
شركة مطبعة ومكتبة النجاح العادية العامة,نابلس,970595957877
شركة اللجين للمصوغات والفضيات العادية العامة,نابلس,970592513467
شركة الجوهر الزراعية العادية العامة,بيت فوريك / نابلس,970597012257
شركة هلا كار لكماليات السيارات العادية العامة,نابلس,970595604470
شركة حموضة لتجارة الادوات المنزلية العادية العامة,نابلس,970599780222
شركة الحميض لتجارة الالمنيوم والبلاستيك العادية العادية,نابلس,970599088063
شركة مصنع الزجاج الوطني العادية العامة,نابلس,970595604470
شركة بن حمامة التجارية العادية العامة,نابلس,970599088063
شركة ابوالحسن الصفدي للتجارة والصناعة العادية العامة,عوريف/نابلس,970592513467
شركة الصوصة التجارية للادوات الصحية ومواد البناء المساهمة الخصوصية المحدودة,نابلس,970599088063
شركة النجيب للتجارة ولوازم الخياطين العادية العامة,نابلس,970595957877
شركة الطاهر المتحدة للمقاولات العامة المساهمة الخصوصية,نابلس,970595957877
شركة الطيبي التجارية الصناعية المساهمة المحدودة,نابلس,970594631407
شركة مكتب تكسي وسفريات الاعتماد المساهمة الخصوصية المحدودة,نابلس,970597012257
شركة الكميل لمواد البناء والتجارة والتعهدات المساهمة المحدودة,بيت ايبا / نابلس,970599088063
شركة الخفش للتجارة ومواد البناء المساهمة الخصوصية المحدودة,نابلس,970595258082
شركة مصلح للتجارة العامة المساهمة الخصوصية المحدودة,نابلس,970595957877
شركة عمر ورشدي العالول المساهمة الخصوصية المحدودة,نابلس,970594631407
شركة ابناء سليمان الشنار التجارية المساهمة الخصوصية المحدودة,نابلس,970592513467
شركة فلسطين الهندسية العادية العامة,نابلس,970599780222
شركة الفجاوي للتجارة والاستثمار المساهمة الخصوصية,نابلس,970599088063
شركة انور كنعان للزيوت والصابون العادية العامة,نابلس,970595258082
شركة سيدني 2000 التجارية للاستيراد والتصدير والتوزيع العادية العامة,نابلس,970595258082
الشركة العالمية لما وراء البحار للتجارة العامة المساهمة الخصوصية,نابلس,970595604470
شركة صبح الشرق للاثاث والتجارة العامة العادية العامة,نابلس,970594631407
شركة شحروري للاستيراد والتصدير العادية العامة,نابلس,970594631407
شركة رفعت صالح يعيش واولاده المحدودة العادية,نابلس,970568977618
الشركة الوطنية لصناعة الكرتون المساهمة العامة المحدودة,نابلس,970592513467
شركة الشعار للمستلزمات الزراعية والبيطرية العادية العامة,نابلس,970595604470
شركة بليبلة لخدمات السيارات العادية العامة,نابلس,970595604470
شركة عيبال لتجارة وصناعة الاسنان العادية العامة,نابلس,970568977618
شركة سندس للالبسة العادية العامة,نابلس,970599088063
شركة الشمس التجارية للمواد الطبية العادية العامة,نابلس,970592513467
شركة برذرز للتجارة العامة وانتاج وتصميم الالبسة العادية العامة,نابلس,970599780222
شركة الحاج عارف بليبلة واولاده للكهربائيات العادية العامة,نابلس,970592513467
شركة الفا للألكترونيات والكمبيوتر العادية العامة,نابلس,970597012257
شركة الكروان للطحينة والحلاوة العادية العامة,نابلس,970595604470
شركة تكسي جوري للسياحة والسفر المساهمة الخصوصية,نابلس,970599780222
شركة جروان للازياء العادية العامة,نابلس,970568977618
شركة ك. بلاست للصناعات البلاستيكية العادية العامة,نابلس,970595957877
شركة حنون للمواد الغذائية العادية العامة,نابلس,970595957877
شركة مكابيس ومخللات ابناء ابو عبده المشهوره العادية العامة,نابلس,970568977618
شركة الحاج حمد اخوان للاستيراد والتسويق العادية العامة,نابلس,970599088063
شركة اتقان للازياء المساهمة الخصوصية,نابلس,970599780222
الشركة المتحدة للاعلاف المساهمة الخصوصية المحدودة,حوارة/نابلس,970594631407
شركة العقاد وشركاه للازياء المساهمة الخصوصية المحدودة,نابلس,970597012257
شركة محمد سعيد عامودي وشركاه للمقاولات والتعهدات العادية العامة,نابلس,970595957877
شركة الرونق لتجارة واستيراد المفروشات والاناره العادية العامة,نابلس,970599780222
شركة الصباح لاستيراد وتصدير قطع غيار السيارات المساهمة الخصوصية المحدودة,نابلس,970599780222
شركة  يسر  للاستثمار,بيتونيا,972594631407
شركة مصانع الزيوت النباتية المساهمة العامة المحدودة,نابلس,972599088063
شركة الجردانة التجارية الصناعية المساهمة الخصوصية,نابلس,972595258082
الشركة العربية لصناعة الدهانات المساهمة العامة المحدودة,نابلس,972599088063
شركة الحاج طاهر المصري المساهمة الخصوصية,نابلس,972595258082
شركة مصانع التنك المساهمة الخصوصية,نابلس,972597012257
شركة كلرلاب 27 المساهمة الخصوصية المحدودة,نابلس,972597012257
شركة المقاولون المساهمة الخصوصية المحدودة,نابلس,972592513467
شركة عبدالرحمن الحجاوي وأولاده/مطبعة النصر التجارية ومكتبتها المساهمة الخصوصية المحدودة,نابلس,972595604470
شركة مركز الهندسة الميكانيكية المساهمة المحدودة,نابلس,972568977618
شركة مصنع بوظة الارز المساهمة الخصوصية,نابلس,972592513467
شركة مصانع الشرق العربية للفوط الصحية المساهمة الخصوصية المحدودة,نابلس,972595258082
شركة فتوح الهندسية للمقاولات العامة المساهمة الخصوصية المحدودة,نابلس,972597012257
شركة طبيلة للهندسة والمقاولات العادية المحدودة,نابلس,972599780222
شركة الطيبي للاستثمار والزراعة المساهمة الخصوصية المحدودة,نابلس,972592513467
الشركة الفلسطينية للصناعات الانشائية المساهمة الخصوصية المحدودة,بيت ايبا / نابلس,972595604470
شركة حافظ وعبدالفتاح طوقان المساهمة الخصوصية المحدودة,نابلس,972592513467
شركة الحاج نمر التميمي للتجارة والنقل المساهمة الخصوصية المحدودة,نابلس,972592513467
شركة سختيان اخوان المساهمة الخصوصية المحدودة,نابلس,972595957877
شركة يعيش للتجارة الدولية المساهمة الخصوصية المحدودة,نابلس,972599088063
شركة جرزيم للتجارة والتعهدات العامة المساهمة الخصوصية المحدودة,نابلس,972592513467
شركة طحينة الحمامة البيضاء للطحينة والحلاوة العادية العامة,نابلس,972592513467
شركة مصنع الشخشير للاثاث العادية العامة,نابلس,972594631407
شركة طوقان للتجارة والبناء المساهمة الخصوصية المحدودة,نابلس,972599780222
شركة شحروري للتمباك العجمي المساهمة الخصوصية المحدودة,نابلس,972594631407
شركة عبدالرحيم التميمي للتجارة والنقل العادية العامة,نابلس,972594631407
شركة المراد التجارية الصناعية للتعبئة والتغليف المساهمة الخصوصية المحدودة,نابلس,972568977618
شركة دار البناء للتجارة والمقاولات العامة المساهمة الخصوصية,عصيرة الشمالية/نابلس,972568977618
شركة قادري التجارية العادية العامة,نابلس,972595957877
شركة الجواد التجارية للمواد الغذائية المساهمة الخصوصية المحدودة,نابلس,972595604470
شركة شيخكو للتجارة والصناعة المساهمة الخصوصية,نابلس,972599088063
شركة الحجاوي لتجارة الورق والقرطاسية المساهمة الخصوصية/فرع ميدان الحسين,نابلس,972595258082
شركة الحجاوي لتجارة الورق والقرطاسية المساهمة الخصوصية/فرع المركز التجاري,نابلس,972568977618
شركة الطاووس الهندسية للتجارة والمقاولات المساهمة الخصوصية المحدودة,نابلس,972597012257
شركة بابل العربية للتجارة العامة والخدمات المساهمة الخصوصية المحدودة,نابلس,972595604470
شركة مصنع دانا للمنتجات الدوائية العادية العامة,نابلس,972595957877
شركة الشخشير اخوان للتراكتورات والتسويق العادية العامة,نابلس,972594631407
شركة الدجني للاثاث المساهمة الخصوصية المحدودة,نابلس,972568977618
شركة ابوكشك للمقاولات والتعهدات العادية العامة,مخيم عسكر/نابلس,972599780222
شركة الزاوياني واولاده التجارية العادية العامة,نابلس,972592513467
شركة الحواري للصرافة المساهمة الخصوصية,نابلس,972595957877
شركة العتبة للتجارة والنوفوتية العادية العامة,نابلس,972599780222
شركة ازياء العايد العصرية لتجارة الملابس المساهمة الخصوصية,نابلس,972568977618
شركة بنك الاستثمار الفلسطيني المساهمة العامة/فرع نابلس,نابلس,972595957877
شركة العمارة للانشاءات الهندسية المساهمة الخصوصية,نابلس,972595604470
شركة وديع مرتضى المصري واولاده العادية العامة,نابلس,972599088063
شركة المغربي للاستيراد والتصدير العادية العامة,نابلس,972597012257
شركة هشام المصري واولاده للتجارة العادية العامة,نابلس,972568977618
شركة الوحدة لتجارة الابقار والاغنام واللحوم العادية العامة,نابلس,972592513467
شركة عناب التجارية الصناعية العادية العامة,نابلس,972595957877
شركة مطبعة ومكتبة النجاح العادية العامة,نابلس,972595957877
شركة اللجين للمصوغات والفضيات العادية العامة,نابلس,972592513467
شركة الجوهر الزراعية العادية العامة,بيت فوريك / نابلس,972597012257
شركة هلا كار لكماليات السيارات العادية العامة,نابلس,972595604470
شركة حموضة لتجارة الادوات المنزلية العادية العامة,نابلس,972599780222
شركة الحميض لتجارة الالمنيوم والبلاستيك العادية العادية,نابلس,972599088063
شركة مصنع الزجاج الوطني العادية العامة,نابلس,972595604470
شركة بن حمامة التجارية العادية العامة,نابلس,972599088063
شركة ابوالحسن الصفدي للتجارة والصناعة العادية العامة,عوريف/نابلس,972592513467
شركة الصوصة التجارية للادوات الصحية ومواد البناء المساهمة الخصوصية المحدودة,نابلس,972599088063
شركة النجيب للتجارة ولوازم الخياطين العادية العامة,نابلس,972595957877
شركة الطاهر المتحدة للمقاولات العامة المساهمة الخصوصية,نابلس,972595957877
شركة الطيبي التجارية الصناعية المساهمة المحدودة,نابلس,972594631407
شركة مكتب تكسي وسفريات الاعتماد المساهمة الخصوصية المحدودة,نابلس,972597012257
شركة الكميل لمواد البناء والتجارة والتعهدات المساهمة المحدودة,بيت ايبا / نابلس,972599088063
شركة الخفش للتجارة ومواد البناء المساهمة الخصوصية المحدودة,نابلس,972595258082
شركة مصلح للتجارة العامة المساهمة الخصوصية المحدودة,نابلس,972595957877
شركة عمر ورشدي العالول المساهمة الخصوصية المحدودة,نابلس,972594631407
شركة ابناء سليمان الشنار التجارية المساهمة الخصوصية المحدودة,نابلس,972592513467
شركة فلسطين الهندسية العادية العامة,نابلس,972599780222
شركة الفجاوي للتجارة والاستثمار المساهمة الخصوصية,نابلس,972599088063
شركة انور كنعان للزيوت والصابون العادية العامة,نابلس,972595258082
شركة سيدني 2000 التجارية للاستيراد والتصدير والتوزيع العادية العامة,نابلس,972595258082
الشركة العالمية لما وراء البحار للتجارة العامة المساهمة الخصوصية,نابلس,972595604470
شركة صبح الشرق للاثاث والتجارة العامة العادية العامة,نابلس,972594631407
شركة شحروري للاستيراد والتصدير العادية العامة,نابلس,972594631407
شركة رفعت صالح يعيش واولاده المحدودة العادية,نابلس,972568977618
الشركة الوطنية لصناعة الكرتون المساهمة العامة المحدودة,نابلس,972592513467
شركة الشعار للمستلزمات الزراعية والبيطرية العادية العامة,نابلس,972595604470
شركة بليبلة لخدمات السيارات العادية العامة,نابلس,972595604470
شركة عيبال لتجارة وصناعة الاسنان العادية العامة,نابلس,972568977618
شركة سندس للالبسة العادية العامة,نابلس,972599088063
شركة الشمس التجارية للمواد الطبية العادية العامة,نابلس,972592513467
شركة برذرز للتجارة العامة وانتاج وتصميم الالبسة العادية العامة,نابلس,972599780222
شركة الحاج عارف بليبلة واولاده للكهربائيات العادية العامة,نابلس,972592513467
شركة الفا للألكترونيات والكمبيوتر العادية العامة,نابلس,972597012257
شركة الكروان للطحينة والحلاوة العادية العامة,نابلس,972595604470
شركة تكسي جوري للسياحة والسفر المساهمة الخصوصية,نابلس,972599780222
شركة جروان للازياء العادية العامة,نابلس,972568977618
شركة ك. بلاست للصناعات البلاستيكية العادية العامة,نابلس,972595957877
شركة حنون للمواد الغذائية العادية العامة,نابلس,972595957877
شركة مكابيس ومخللات ابناء ابو عبده المشهوره العادية العامة,نابلس,972568977618
شركة الحاج حمد اخوان للاستيراد والتسويق العادية العامة,نابلس,972599088063
شركة اتقان للازياء المساهمة الخصوصية,نابلس,972599780222
الشركة المتحدة للاعلاف المساهمة الخصوصية المحدودة,حوارة/نابلس,972594631407
شركة العقاد وشركاه للازياء المساهمة الخصوصية المحدودة,نابلس,972597012257
شركة محمد سعيد عامودي وشركاه للمقاولات والتعهدات العادية العامة,نابلس,972595957877
شركة الرونق لتجارة واستيراد المفروشات والاناره العادية العامة,نابلس,972599780222
شركة الصباح لاستيراد وتصدير قطع غيار السيارات المساهمة الخصوصية المحدودة,نابلس,972599780222
